"","Species","Country","year","count"
"203","COE","BE","X2014",1
"204","COE","BE","X2014",0
"205","COE","BE","X2014",1
"206","COE","BE","X2014",0
"207","CRE","BE","X2014",272
"208","CRE","BE","X2014",0
"209","CRE","BE","X2014",0
"210","CRE","BE","X2014",110
"211","CRE","BE","X2014",0
"212","CRE","BE","X2014",94
"213","CRE","BE","X2014",16
"214","CRE","BE","X2014",0
"215","CRE","BE","X2014",0
"216","CRE","BE","X2014",0
"217","CRE","BE","X2014",0
"218","CRE","BE","X2014",0
"219","CRE","BE","X2014",0
"220","CRE","BE","X2014",144
"221","CRE","BE","X2014",4
"222","CRE","BE","X2014",70
"223","CRE","BE","X2014",7
"224","CRE","BE","X2014",26
"225","CRE","BE","X2014",36
"226","CRE","BE","X2014",1
"227","CRE","BE","X2014",0
"228","CRE","BE","X2014",0
"229","CRE","BE","X2014",18
"230","CRE","BE","X2014",1
"231","CRE","BE","X2014",17
"232","CRE","BE","X2014",0
"233","CRU","BE","X2014",3
"234","CRU","BE","X2014",0
"235","CRU","BE","X2014",0
"236","CRU","BE","X2014",0
"237","CRU","BE","X2014",0
"238","CRU","BE","X2014",0
"239","CRU","BE","X2014",0
"240","CRU","BE","X2014",0
"241","CRU","BE","X2014",0
"242","CRU","BE","X2014",0
"243","CRU","BE","X2014",3
"244","CRU","BE","X2014",0
"245","CRU","BE","X2014",2
"246","CRU","BE","X2014",0
"247","CRU","BE","X2014",0
"248","CRU","BE","X2014",0
"249","CRU","BE","X2014",0
"250","CRU","BE","X2014",0
"251","CSH","BE","X2014",1178
"252","CSH","BE","X2014",1178
"253","CSH","BE","X2014",23
"254","CSH","BE","X2014",1156
"255","CSH","BE","X2014",0
"256","CSH","BE","X2014",0
"257","CTC","BE","X2014",373
"258","CTC","BE","X2014",50
"259","CTC","BE","X2014",0
"260","CTC","BE","X2014",1
"261","CTC","BE","X2014",49
"262","CTC","BE","X2014",0
"263","CTC","BE","X2014",0
"264","CTC","BE","X2014",320
"265","CTC","BE","X2014",0
"266","CTC","BE","X2014",282
"267","CTC","BE","X2014",31
"268","CTC","BE","X2014",6
"269","CTC","BE","X2014",2
"270","CTC","BE","X2014",0
"271","CTC","BE","X2014",0
"272","CTC","BE","X2014",0
"273","CTC","BE","X2014",3
"274","CTC","BE","X2014",0
"275","CTC","BE","X2014",3
"276","CTC","BE","X2014",0
"277","DAB","BE","X2014",481
"278","DAB","BE","X2014",0
"279","DAB","BE","X2014",0
"280","DAB","BE","X2014",0
"281","DAB","BE","X2014",0
"282","DAB","BE","X2014",0
"283","DAB","BE","X2014",0
"284","DAB","BE","X2014",0
"285","DAB","BE","X2014",304
"286","DAB","BE","X2014",0
"287","DAB","BE","X2014",174
"288","DAB","BE","X2014",130
"289","DAB","BE","X2014",0
"290","DAB","BE","X2014",0
"291","DAB","BE","X2014",0
"292","DAB","BE","X2014",0
"293","DAB","BE","X2014",0
"294","DAB","BE","X2014",0
"295","DAB","BE","X2014",0
"296","DAB","BE","X2014",0
"297","DAB","BE","X2014",177
"298","DAB","BE","X2014",2
"299","DAB","BE","X2014",149
"300","DAB","BE","X2014",1
"301","DAB","BE","X2014",20
"302","DAB","BE","X2014",5
"303","DAB","BE","X2014",0
"304","DAB","BE","X2014",0
"305","DAB","BE","X2014",0
"306","DAB","BE","X2014",0
"307","DAB","BE","X2014",0
"308","DAB","BE","X2014",0
"309","DAB","BE","X2014",0
"310","DGH","BE","X2014",0
"311","DGH","BE","X2014",0
"312","DGH","BE","X2014",0
"313","DGH","BE","X2014",0
"314","DGH","BE","X2014",0
"315","DGH","BE","X2014",0
"316","DGH","BE","X2014",0
"317","DGH","BE","X2014",0
"318","DGH","BE","X2014",0
"319","DGH","BE","X2014",0
"320","DGH","BE","X2014",0
"321","DGH","BE","X2014",0
"322","DGH","BE","X2014",0
"323","DGH","BE","X2014",0
"324","DGH","BE","X2014",0
"325","DGH","BE","X2014",0
"326","DGH","BE","X2014",0
"327","DGH","BE","X2014",0
"328","DGH","BE","X2014",0
"329","DGH","BE","X2014",0
"330","DGH","BE","X2014",0
"331","DGH","BE","X2014",0
"332","DGH","BE","X2014",0
"333","DGH","BE","X2014",0
"334","DGH","BE","X2014",0
"335","DGS","BE","X2014",0
"336","DGS","BE","X2014",0
"337","DGS","BE","X2014",0
"338","DGS","BE","X2014",0
"339","DGS","BE","X2014",0
"340","DGS","BE","X2014",0
"341","DGS","BE","X2014",0
"342","DGS","BE","X2014",0
"343","DGS","BE","X2014",0
"344","DGS","BE","X2014",0
"345","DGS","BE","X2014",0
"346","DGS","BE","X2014",0
"347","DGS","BE","X2014",0
"348","DGS","BE","X2014",0
"349","DGS","BE","X2014",0
"350","DGS","BE","X2014",0
"351","DGS","BE","X2014",0
"352","DGS","BE","X2014",0
"353","DGS","BE","X2014",0
"354","DGS","BE","X2014",0
"355","DGS","BE","X2014",0
"356","DGS","BE","X2014",0
"357","DGS","BE","X2014",0
"358","DGS","BE","X2014",0
"359","DGS","BE","X2014",0
"360","DGS","BE","X2014",0
"361","DGS","BE","X2014",0
"362","DGS","BE","X2014",0
"363","DGS","BE","X2014",0
"364","DGS","BE","X2014",0
"365","DGS","BE","X2014",0
"366","DGS","BE","X2014",0
"367","DGZ","BE","X2014",0
"368","DGZ","BE","X2014",0
"369","DGZ","BE","X2014",0
"370","DGZ","BE","X2014",0
"371","DGZ","BE","X2014",0
"372","DGZ","BE","X2014",0
"373","DGZ","BE","X2014",0
"374","DGZ","BE","X2014",0
"375","DGZ","BE","X2014",0
"376","DGZ","BE","X2014",0
"377","DGZ","BE","X2014",0
"378","DGZ","BE","X2014",0
"379","DGZ","BE","X2014",0
"380","DGZ","BE","X2014",0
"381","DGZ","BE","X2014",0
"382","DIA","BE","X2014",0
"383","DIA","BE","X2014",0
"384","DIA","BE","X2014",0
"385","DPX","BE","X2014",11
"386","DPX","BE","X2014",0
"387","DPX","BE","X2014",0
"388","DPX","BE","X2014",0
"389","DPX","BE","X2014",0
"390","DPX","BE","X2014",0
"391","DPX","BE","X2014",0
"392","DPX","BE","X2014",0
"393","DPX","BE","X2014",6
"394","DPX","BE","X2014",0
"395","DPX","BE","X2014",1
"396","DPX","BE","X2014",4
"397","DPX","BE","X2014",0
"398","DPX","BE","X2014",0
"399","DPX","BE","X2014",0
"400","DPX","BE","X2014",0
"401","DPX","BE","X2014",0
"402","DPX","BE","X2014",0
"403","DPX","BE","X2014",0
"404","DPX","BE","X2014",5
"405","DPX","BE","X2014",0
"406","DPX","BE","X2014",4
"407","DPX","BE","X2014",0
"408","DPX","BE","X2014",1
"409","DPX","BE","X2014",0
"410","DPX","BE","X2014",0
"411","DPX","BE","X2014",0
"412","DPX","BE","X2014",0
"413","DPX","BE","X2014",0
"414","DPX","BE","X2014",0
"415","DPX","BE","X2014",0
"416","DPX","BE","X2014",0
"417","ELE","BE","X2014",0
"418","ELE","BE","X2014",0
"419","ELE","BE","X2014",0
"420","FIN","BE","X2014",0
"421","FIN","BE","X2014",0
"422","FIN","BE","X2014",0
"423","FIN","BE","X2014",0
"424","FIN","BE","X2014",0
"425","FIN","BE","X2014",0
"426","FIN","BE","X2014",0
"427","FIN","BE","X2014",0
"428","FIN","BE","X2014",0
"429","FIN","BE","X2014",0
"430","FIN","BE","X2014",0
"431","FIN","BE","X2014",0
"432","FIN","BE","X2014",0
"433","FIN","BE","X2014",0
"434","FIN","BE","X2014",0
"435","FIN","BE","X2014",0
"436","FIN","BE","X2014",0
"437","FIN","BE","X2014",0
"438","FLE","BE","X2014",379
"439","FLE","BE","X2014",376
"440","FLE","BE","X2014",0
"441","FLE","BE","X2014",1
"442","FLE","BE","X2014",375
"443","FLE","BE","X2014",0
"444","FLE","BE","X2014",0
"445","FLE","BE","X2014",0
"446","FLE","BE","X2014",0
"447","FLE","BE","X2014",0
"448","FLE","BE","X2014",4
"449","FLE","BE","X2014",0
"450","FLE","BE","X2014",2
"451","FLE","BE","X2014",0
"452","FLE","BE","X2014",1
"453","FLE","BE","X2014",0
"454","FLE","BE","X2014",0
"455","FLE","BE","X2014",0
"456","FLE","BE","X2014",0
"457","FLE","BE","X2014",0
"458","FLE","BE","X2014",0
"459","FLE","BE","X2014",0
"460","GAD","BE","X2014",0
"461","GAD","BE","X2014",0
"462","GAD","BE","X2014",0
"463","GAD","BE","X2014",0
"464","GAD","BE","X2014",0
"465","GAD","BE","X2014",0
"466","GAD","BE","X2014",0
"467","GAD","BE","X2014",0
"468","GAD","BE","X2014",0
"469","GAD","BE","X2014",0
"470","GAD","BE","X2014",0
"471","GAD","BE","X2014",0
"472","GAD","BE","X2014",0
"473","GAD","BE","X2014",0
"474","GAD","BE","X2014",0
"475","GAD","BE","X2014",0
"476","GUG","BE","X2014",65
"477","GUG","BE","X2014",0
"478","GUG","BE","X2014",0
"479","GUG","BE","X2014",35
"480","GUG","BE","X2014",0
"481","GUG","BE","X2014",22
"482","GUG","BE","X2014",13
"483","GUG","BE","X2014",0
"484","GUG","BE","X2014",0
"485","GUG","BE","X2014",0
"486","GUG","BE","X2014",0
"487","GUG","BE","X2014",0
"488","GUG","BE","X2014",17
"489","GUG","BE","X2014",1
"490","GUG","BE","X2014",7
"491","GUG","BE","X2014",0
"492","GUG","BE","X2014",3
"493","GUG","BE","X2014",5
"494","GUG","BE","X2014",0
"495","GUG","BE","X2014",14
"496","GUG","BE","X2014",0
"497","GUG","BE","X2014",14
"498","GUG","BE","X2014",0
"499","GUR","BE","X2014",263
"500","GUR","BE","X2014",0
"501","GUR","BE","X2014",0
"502","GUR","BE","X2014",10
"503","GUR","BE","X2014",0
"504","GUR","BE","X2014",5
"505","GUR","BE","X2014",5
"506","GUR","BE","X2014",0
"507","GUR","BE","X2014",0
"508","GUR","BE","X2014",252
"509","GUR","BE","X2014",2
"510","GUR","BE","X2014",212
"511","GUR","BE","X2014",4
"512","GUR","BE","X2014",29
"513","GUR","BE","X2014",4
"514","GUR","BE","X2014",0
"515","GUR","BE","X2014",2
"516","GUR","BE","X2014",0
