Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
GUX,BE,0,0,0,0,0,0,553,688,568
GUX,BE,0,0,0,0,0,0,82,66,70
GUX,BE,0,0,0,0,0,0,11,15,14
GUX,BE,0,0,0,0,0,0,71,51,56
GUX,BE,0,0,0,0,0,0,465,616,491
GUX,BE,0,0,0,0,0,0,18,22,51
GUX,BE,0,0,0,0,0,0,389,528,384
GUX,BE,0,0,0,0,0,0,23,28,24
GUX,BE,0,0,0,0,0,0,23,25,17
GUX,BE,0,0,0,0,0,0,13,14,14
GUX,BE,0,0,0,0,0,0,0,0,0
GUX,BE,0,0,0,0,0,0,6,6,7
GUX,BE,0,0,0,0,0,0,0,1,1
GUX,BE,0,0,0,0,0,0,6,5,6
HAD,BE,206,259,327,335,259,246,236,328,229
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,98,78,78,106,78,108,112,178,106
HAD,BE,0,3,0,0,0,0,0,0,0
HAD,BE,97,74,77,100,76,99,101,177,105
HAD,BE,1,1,1,6,2,9,12,2,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,107,181,249,229,181,138,124,150,123
HAD,BE,7,6,13,16,9,7,15,30,23
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,1,1,4,2,2,1,0,1,1
HAD,BE,1,5,14,16,4,3,1,1,1
HAD,BE,64,65,81,66,72,62,66,71,52
HAD,BE,34,103,136,129,93,66,41,47,46
HAD,BE,0,0,0,0,1,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAD,BE,0,0,0,0,0,0,0,0,0
HAL,BE,1,1,0,1,4,6,7,5,2
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,1,1,0,1,4,6,7,5,2
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,1,1,0,1,4,6,7,5,2
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HAL,BE,0,0,0,0,0,0,0,0,0
HER,BE,27,22,4,3,1,0,0,1,3
HER,BE,2,0,1,3,1,0,0,1,3
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,2,0,1,3,1,0,0,1,3
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,25,22,3,1,0,0,0,0,0
HER,BE,25,22,3,1,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HER,BE,0,0,0,0,0,0,0,0,0
HKE,BE,60,51,40,52,69,51,72,79,83
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,42,31,27,36,51,37,60,63,54
HKE,BE,0,1,0,0,0,0,0,0,0
HKE,BE,42,30,27,36,51,36,60,63,53
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,12,12,10,11,13,8,8,13,19
HKE,BE,1,1,1,0,1,1,1,2,2
HKE,BE,1,0,0,0,0,0,0,1,0
HKE,BE,0,1,0,0,0,0,0,1,1
HKE,BE,5,2,2,4,5,3,3,4,4
HKE,BE,6,8,6,7,7,4,4,7,12
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,6,8,3,5,5,6,3,3,10
HKE,BE,0,0,0,0,0,1,0,1,2
HKE,BE,6,7,3,5,5,6,3,2,8
HKE,BE,0,0,0,0,0,0,0,0,0
HKE,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
HOM,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
INV,BE,0,0,0,0,0,0,0,0,0
JAX,BE,74,65,48,29,22,5,3,6,4
JAX,BE,59,24,32,20,13,4,3,5,3
JAX,BE,1,0,7,1,1,0,1,0,0
JAX,BE,58,24,25,20,12,4,2,5,3
JAX,BE,15,41,17,9,10,1,0,0,0
JAX,BE,15,27,16,6,5,1,0,0,0
JAX,BE,0,14,0,2,4,0,0,0,0
JOD,BE,33,17,0,0,0,0,0,0,0
JOD,BE,1,0,0,0,0,0,0,0,0
JOD,BE,0,0,0,0,0,0,0,0,0
JOD,BE,1,0,0,0,0,0,0,0,0
JOD,BE,31,16,0,0,0,0,0,0,0
JOD,BE,1,1,0,0,0,0,0,0,0
JOD,BE,7,3,0,0,0,0,0,0,0
JOD,BE,1,1,0,0,0,0,0,0,0
JOD,BE,12,3,0,0,0,0,0,0,0
JOD,BE,11,9,0,0,0,0,0,0,0
JOD,BE,0,0,0,0,0,0,0,0,0
JOD,BE,1,1,0,0,0,0,0,0,0
JOD,BE,1,1,0,0,0,0,0,0,0
LBE,BE,3,2,2,2,11,10,4,2,2
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,1,1,1,1,10,8,2,1,1
LBE,BE,0,0,0,0,9,7,1,1,0
LBE,BE,1,0,0,1,1,1,2,1,1
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,2,1,1,2,1,2,2,1,1
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,2,1,1,1,1,1,1,1,1
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LBE,BE,0,0,0,0,0,0,0,0,0
LEM,BE,1192,1089,947,821,663,679,885,888,925
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,650,527,406,387,376,389,527,542,552
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,604,484,377,355,332,287,430,515,502
LEM,BE,47,43,29,31,43,102,97,27,50
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,542,562,541,434,287,290,358,345,373
LEM,BE,2,4,11,7,8,4,4,11,15
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,163,175,171,153,101,149,140,70,98
LEM,BE,5,10,15,12,5,7,5,10,9
LEM,BE,308,252,211,157,99,75,156,181,144
LEM,BE,63,121,133,106,73,55,52,73,106
LEM,BE,1,0,1,0,1,0,0,0,2
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,1,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEM,BE,0,0,0,0,0,0,0,1,0
LEM,BE,0,0,0,0,0,0,0,0,0
LEZ,BE,189,539,613,338,278,212,171,205,103
LEZ,BE,10,1,0,2,6,2,3,6,2
LEZ,BE,10,0,0,1,6,1,3,6,2
LEZ,BE,0,0,0,1,0,1,0,0,0
LEZ,BE,167,521,605,326,268,205,163,195,98
LEZ,BE,0,1,3,3,4,1,2,2,2
LEZ,BE,0,0,0,0,0,0,0,0,0
LEZ,BE,1,0,1,0,0,0,0,0,0
LEZ,BE,2,2,2,1,1,1,0,1,1
LEZ,BE,68,172,201,94,78,85,45,78,33
LEZ,BE,86,345,392,227,179,117,114,112,59
LEZ,BE,10,1,6,1,6,0,1,1,4
LEZ,BE,0,0,0,0,0,0,0,0,0
LEZ,BE,0,0,0,0,0,0,0,0,0
LEZ,BE,12,18,8,11,4,6,6,4,2
LEZ,BE,0,0,0,0,0,0,0,0,0
LEZ,BE,12,18,8,11,4,6,6,4,2
LIN,BE,97,67,74,57,48,42,71,71,57
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,16,15,12,16,22,19,16,28,25
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,16,15,12,15,22,18,15,27,24
LIN,BE,0,0,0,0,1,1,1,1,1
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,80,52,62,41,25,23,55,43,31
LIN,BE,2,1,2,1,1,1,1,2,2
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,3,3,4,3,3,4,5,6,3
LIN,BE,1,2,3,2,1,2,6,9,7
LIN,BE,61,22,29,20,10,9,32,16,10
LIN,BE,13,24,23,15,10,7,11,10,10
LIN,BE,0,0,0,0,0,0,1,0,1
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
LIN,BE,0,0,0,0,0,0,0,0,0
MAC,BE,56,62,44,21,29,3,2,1,4
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,56,62,43,21,27,3,2,1,3
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,14,15,31,4,15,1,0,0,0
MAC,BE,42,47,12,17,12,2,2,1,3
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,1,0,2,1,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,1,0,1,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,1,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MAC,BE,0,0,0,0,0,0,0,0,0
MEB,BE,0,0,0,0,0,0,0,0,0
MEB,BE,0,0,0,0,0,0,0,0,0
MEB,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MEG,BE,0,0,0,0,0,0,0,0,0
MGC,BE,0,0,0,0,0,0,0,0,0
MGC,BE,0,0,0,0,0,0,0,0,0
MGC,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MNZ,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MOL,BE,0,0,0,0,0,0,0,0,0
MUR,BE,83,61,76,104,83,33,42,56,45
MUR,BE,8,6,13,14,18,4,4,3,4
MUR,BE,0,2,8,3,5,1,1,1,2
MUR,BE,8,5,5,11,13,2,3,2,2
MUR,BE,71,50,60,88,61,25,33,49,39
MUR,BE,0,0,0,0,0,0,0,0,0
MUR,BE,63,27,26,69,44,10,11,10,8
MUR,BE,1,11,25,11,9,6,10,24,17
MUR,BE,7,10,7,5,5,8,10,12,10
MUR,BE,1,3,2,2,2,1,2,3,3
MUR,BE,0,0,0,0,0,0,0,0,0
MUR,BE,4,5,3,3,4,5,5,3,2
MUR,BE,0,0,0,0,0,0,0,0,0
MUR,BE,4,5,3,3,4,4,4,3,2
MUS,BE,0,0,0,0,0,0,0,0,0
MUS,BE,0,0,0,0,0,0,0,0,0
MUS,BE,0,0,0,0,0,0,0,0,0
MUS,BE,0,0,0,0,0,0,0,0,0
MZZ,BE,0,0,0,0,0,0,0,0,0
MZZ,BE,0,0,0,0,0,0,0,0,0
MZZ,BE,0,0,0,0,0,0,0,0,0
NEP,BE,503,317,382,306,134,282,212,215,228
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,494,303,374,295,115,265,200,205,213
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,494,303,373,284,115,263,198,205,213
NEP,BE,0,0,0,11,0,2,2,0,1
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,8,14,7,8,15,15,11,7,8
NEP,BE,0,0,0,0,0,0,2,1,1
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,0,0,0,0
NEP,BE,0,0,0,0,0,2,0,0,0
NEP,BE,8,13,6,7,15,13,9,6,7
NEP,BE,0,0,1,3,3,2,1,3,7
NEP,BE,0,0,0,0,0,0,0,1,1
NEP,BE,0,0,1,3,3,1,1,2,6
NEP,BE,0,0,0,0,0,0,0,0,0
OCZ,BE,46,111,128,93,69,45,31,48,35
OCZ,BE,0,0,1,2,1,1,3,2,2
OCZ,BE,0,0,1,1,1,1,2,1,2
OCZ,BE,0,0,0,0,0,0,0,1,0
OCZ,BE,0,0,0,0,0,0,0,0,0
OCZ,BE,0,0,0,0,0,0,0,0,0
OCZ,BE,20,89,112,77,55,33,20,31,27
OCZ,BE,0,1,2,4,2,1,1,0,2
OCZ,BE,2,2,4,2,2,2,1,1,1
OCZ,BE,3,18,36,20,15,6,7,4,2
OCZ,BE,9,40,40,34,22,17,9,20,16
OCZ,BE,5,28,28,18,14,7,3,5,6
OCZ,BE,0,0,1,0,0,0,0,1,0
OCZ,BE,0,0,0,0,0,0,0,0,0
OCZ,BE,0,0,0,0,0,0,0,0,0
OCZ,BE,26,23,15,14,13,10,8,16,6
OCZ,BE,0,0,0,0,1,0,0,0,0
OCZ,BE,26,23,15,14,12,10,8,15,6
OCZ,BE,0,0,0,0,0,0,0,0,0
OYF,BE,0,0,0,0,0,0,0,0,0
OYF,BE,0,0,0,0,0,0,0,0,0
OYF,BE,0,0,0,0,0,0,0,0,0
PEE,BE,0,0,0,0,0,0,0,0,0
PEE,BE,0,0,0,0,0,0,0,0,0
PEE,BE,0,0,0,0,0,0,0,0,0
PIL,BE,2,0,0,0,0,0,0,0,0
PIL,BE,2,0,0,0,0,0,0,0,0
PIL,BE,2,0,0,0,0,0,0,0,0
PIL,BE,0,0,0,0,0,0,0,0,0
PIL,BE,0,0,0,0,0,0,0,0,0
PLE,BE,8868,8228,6687,6344,5200,5007,5220,5732,5139
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,7152,6508,5066,4588,3699,3537,3396,3894,3524
PLE,BE,0,1,0,0,0,0,0,0,0
PLE,BE,5540,5359,4172,3313,2285,2385,2422,3317,2619
PLE,BE,1612,1148,894,1275,1415,1152,974,577,905
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,1715,1720,1619,1753,1500,1469,1822,1834,1613
PLE,BE,100,144,236,332,138,197,157,194,343
PLE,BE,1389,1295,1045,1067,1123,1002,1386,1355,1024
PLE,BE,41,97,134,141,51,53,66,84,52
PLE,BE,103,82,88,62,60,63,50,65,40
PLE,BE,79,102,115,148,128,153,137,129,132
PLE,BE,4,0,2,4,0,1,25,7,22
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,1,0,3,2,2,2,2,5,2
PLE,BE,0,0,2,1,0,1,1,2,1
PLE,BE,1,0,1,1,1,1,1,3,1
PLE,BE,0,0,0,0,0,0,0,0,0
PLE,BE,0,0,0,0,0,0,0,0,0
POK,BE,7,4,4,3,16,29,9,20,16
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,5,3,2,2,15,27,7,18,15
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,5,3,2,2,14,27,7,18,15
POK,BE,0,0,0,0,1,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,2,2,2,1,1,2,1,2,1
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,1,1,1,0,0,0,0,0,0
POK,BE,1,1,1,1,1,1,1,1,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POK,BE,0,0,0,0,0,0,0,0,0
POL,BE,107,55,60,49,47,53,90,107,96
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,24,17,17,12,12,13,14,17,18
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,24,16,17,12,11,12,14,17,17
POL,BE,0,0,0,0,1,1,1,1,1
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,84,39,43,37,35,41,76,90,78
POL,BE,1,2,2,2,2,3,4,6,8
POL,BE,21,11,8,8,10,16,21,24,36
POL,BE,1,3,5,4,4,4,19,26,15
POL,BE,51,9,8,10,6,10,24,22,10
POL,BE,10,15,20,13,13,9,8,13,10
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POL,BE,0,0,0,0,0,0,0,0,0
POR,BE,0,0,0,0,0,0,0,0,0
POR,BE,0,0,0,0,0,0,0,0,0
POR,BE,0,0,0,0,0,0,0,0,0
POR,BE,0,0,0,0,0,0,0,0,0
POR,BE,0,0,0,0,0,0,0,0,0
POR,BE,0,0,0,0,0,0,0,0,0
